"","region_type","region","year","week","total_specimens","percent_positive","a_2009_h1n1","a_h1","a_h3","a_subtyping_not_performed","a_unable_to_subtype","b","h3n2v","wk_date"
"1","HHS Regions","Region 1","2008",40,173,0,0,0,0,0,0,0,0,2008-09-28
"2","HHS Regions","Region 2","2008",40,432,0,0,0,0,0,0,0,0,2008-09-28
"3","HHS Regions","Region 3","2008",40,347,0,0,0,0,0,0,0,0,2008-09-28
"4","HHS Regions","Region 4","2008",40,444,0.900901,0,0,0,2,0,2,0,2008-09-28
"5","HHS Regions","Region 5","2008",40,145,0,0,0,0,0,0,0,0,2008-09-28
"6","HHS Regions","Region 6","2008",40,370,0.810811,0,0,0,3,0,0,0,2008-09-28
"7","HHS Regions","Region 7","2008",40,162,0,0,0,0,0,0,0,0,2008-09-28
"8","HHS Regions","Region 8","2008",40,139,1.43885,0,0,0,1,0,1,0,2008-09-28
"9","HHS Regions","Region 9","2008",40,416,1.44231,0,2,0,2,0,2,0,2008-09-28
"10","HHS Regions","Region 10","2008",40,131,1.52672,0,1,0,0,0,1,0,2008-09-28
"11","HHS Regions","Region 1","2008",41,175,0,0,0,0,0,0,0,0,2008-10-05
"12","HHS Regions","Region 2","2008",41,344,0.290698,0,0,0,1,0,0,0,2008-10-05
"13","HHS Regions","Region 3","2008",41,375,0.266667,0,0,0,0,0,1,0,2008-10-05
"14","HHS Regions","Region 4","2008",41,473,0,0,0,0,0,0,0,0,2008-10-05
"15","HHS Regions","Region 5","2008",41,175,1.14286,0,1,0,0,0,1,0,2008-10-05
"16","HHS Regions","Region 6","2008",41,439,0.911162,0,0,0,4,0,0,0,2008-10-05
"17","HHS Regions","Region 7","2008",41,179,0,0,0,0,0,0,0,0,2008-10-05
"18","HHS Regions","Region 8","2008",41,173,1.7341,0,0,0,1,0,2,0,2008-10-05
"19","HHS Regions","Region 9","2008",41,396,1.76768,0,4,0,2,0,1,0,2008-10-05
"20","HHS Regions","Region 10","2008",41,145,3.44828,0,0,4,0,0,1,0,2008-10-05
"21","HHS Regions","Region 1","2008",42,184,0,0,0,0,0,0,0,0,2008-10-12
"22","HHS Regions","Region 2","2008",42,380,0,0,0,0,0,0,0,0,2008-10-12
"23","HHS Regions","Region 3","2008",42,349,0,0,0,0,0,0,0,0,2008-10-12
"24","HHS Regions","Region 4","2008",42,545,1.46789,0,0,0,7,0,1,0,2008-10-12
"25","HHS Regions","Region 5","2008",42,205,0,0,0,0,0,0,0,0,2008-10-12
